Foreign State;Region;2008_visas;2009_visas;2010_visas;2011_visas;2012_visas;2013_visas;2014_visas;2015_visas;2016_visas;2017_visas;2007_Entrants;2007_Derivatives;2007_Total;2008_Entrants;2008_Derivatives;2008_Total;2009_Entrants;2009_Derivatives;2009_Total;2010_Entrants;2010_Derivatives;2010_Total;2011_Entrants;2011_Derivatives;2011_Total;2012_Entrants;2012_Derivatives;2012_Total;2013_Entrants;2013_Derivatives;2013_Total;2014_Entrants;2014_Derivatives;2014_Total;2015_Entrants;2015_Derivatives;2015_Total;2016_Entrants;2016_Derivatives;2016_Total;2017_Entrants;2017_Derivatives;2017_Total;2018_Entrants;2018_Derivatives;2018_Total
Namibia;Africa;0;10;0;4;2;7;0;7;3;5;295;265;560;350;310;660;396;346;742;468;369;837;533;491;1024;506;479;985;507;458;965;535;498;1033;732;506;1238;547;522;1069;545;530;1075;497;539;1036
Nauru;Oceania;0;0;0;6;0;0;0;0;0;0;55;16;71;62;20;82;67;27;94;65;14;79;46;18;64;52;11;63;90;45;135;82;31;113;132;73;205;153;83;236;120;56;176;116;53;169
Nepal;Asia;2073;1615;1936;2017;1953;3377;3504;3370;3247;3477;189484;137846;327330;222477;167512;389989;170716;127425;298141;211421;144795;356216;194373;128385;322758;238678;158358;397036;308794;187616;496410;380289;233096;613385;545825;347136;892961;664854;426026;1090880;692137;444485;1136622;728718;458632;1187350
Netherlands;Europe;68;103;80;52;61;35;71;46;40;31;4843;4073;8916;4932;4187;9119;4950;4291;9241;4356;3769;8125;5095;4358;9453;5299;4590;9889;5419;4543;9962;5984;5171;11155;5585;4746;10331;6203;5372;11575;6216;5322;11538;6064;5103;11167
Netherlands Antilles;Europe;3;12;1;0;;;;;;;312;251;563;427;365;792;516;514;1030;389;381;770;491;507;998;495;519;1014;0;0;0;0;0;0;0;0;0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
New Caledonia;Europe;0;0;0;0;0;0;1;0;0;0;41;19;60;56;23;79;77;65;142;55;44;99;80;58;138;106;89;195;106;96;202;103;93;196;101;77;178;121;98;219;112;96;208;127;95;222
New Zealand;Oceania;117;84;80;109;87;131;132;149;66;127;3523;2028;5551;3976;2428;6404;3928;2477;6405;3034;1991;5025;3564;2360;5924;3514;2193;5707;3397;2006;5403;4147;2402;6549;3943;2079;6022;4498;2272;6770;4551;2328;6879;4442;2139;6581
Nicaragua;South America, Central America, and the Caribbean;14;26;20;22;7;28;2;4;5;3;1859;2136;3995;2169;2285;4454;2872;3164;6036;1987;2405;4392;4342;4435;8777;2744;3007;5751;2945;3299;6244;2213;2614;4827;1538;1956;3494;4918;5214;10132;2337;2706;5043;3354;3835;7189
Niger;Africa;42;21;20;20;3;18;18;15;15;6;3946;1316;5262;4896;1366;6262;2575;975;3550;1903;755;2658;4864;1000;5864;2572;887;3459;2660;889;3549;5417;1068;6485;20439;2396;22835;13804;2423;16227;9065;4017;13082;10996;5652;16648
Nigeria;Africa;3425;3275;2834;2810;1887;3274;2467;;;;619891;455644;1075535;684735;493158;1177893;752721;475752;1228473;1145393;424923;1570316;1634692;509934;2144626;1470155;535721;2005876;1356396;619175;1975571;1694975;695783;2390758;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
