Foreign State;Region;2008_visas;2009_visas;2010_visas;2011_visas;2012_visas;2013_visas;2014_visas;2015_visas;2016_visas;2017_visas;2007_Entrants;2007_Derivatives;2007_Total;2008_Entrants;2008_Derivatives;2008_Total;2009_Entrants;2009_Derivatives;2009_Total;2010_Entrants;2010_Derivatives;2010_Total;2011_Entrants;2011_Derivatives;2011_Total;2012_Entrants;2012_Derivatives;2012_Total;2013_Entrants;2013_Derivatives;2013_Total;2014_Entrants;2014_Derivatives;2014_Total;2015_Entrants;2015_Derivatives;2015_Total;2016_Entrants;2016_Derivatives;2016_Total;2017_Entrants;2017_Derivatives;2017_Total;2018_Entrants;2018_Derivatives;2018_Total
Togo;Africa;469;483;507;526;281;514;565;547;688;504;97453;26498;123951;47826;16675;64501;34029;10020;44049;33919;8549;42468;49596;9375;58971;42322;10265;52587;52306;12273;64579;64980;15450;80430;97329;20419;117748;135742;31404;167146;152521;34087;186608;218117;50077;268194
Tokelau;Oceania;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;10;29;13;5;18;9;1;10;24;7;31;28;14;42;31;6;37
Tonga;Oceania;27;27;22;9;1;11;2;15;1;24;998;1425;2423;1305;2402;3707;1000;1658;2658;750;942;1692;729;1073;1802;557;913;1470;606;1020;1626;521;823;1344;584;865;1449;678;1024;1702;603;886;1489;661;1024;1685
Trinidad and Tobago;South America, Central America, and the Caribbean;48;76;103;53;43;45;62;53;20;17;6100;5119;11219;6063;5427;11490;6648;6297;12945;6222;6180;12402;6685;6866;13551;7871;7890;15761;7238;7264;14502;7378;7725;15103;7272;7076;14348;6108;6480;12588;4478;4673;9151;5550;5718;11268
Tunisia;Africa;43;53;68;42;26;49;40;38;100;63;6209;2417;8626;4581;2103;6684;4330;2167;6497;4329;2316;6645;4100;2490;6590;5011;2610;7621;5530;2822;8352;5080;3442;8522;7209;4488;11697;15385;8148;23533;15280;9166;24446;15608;9979;25587
Turkey;Europe;972;1041;1058;993;899;712;1084;1245;796;1386;68763;43554;112317;77538;48070;125608;77156;47829;124985;90643;56034;146677;115474;66104;181578;108015;68696;176711;138832;89177;228009;152074;107246;259320;157780;96880;254660;137146;108347;245493;170370;145856;316226;204729;202200;406929
Turkmenistan;Europe;78;59;77;85;72;70;106;105;75;93;2543;2747;5290;3090;3477;6567;2713;3036;5749;2749;2962;5711;3122;3616;6738;4251;4961;9212;4664;5222;9886;5460;6172;11632;5763;6203;11966;6010;6949;12959;7963;9646;17609;12598;17068;29666
Tuvalu;Oceania;0;0;0;0;0;0;0;0;0;2;15;18;33;6;10;16;11;12;23;14;11;25;12;13;25;10;13;23;9;22;31;12;29;41;16;19;35;23;43;66;9;8;17;10;16;26
Uganda;Africa;152;170;158;211;111;204;184;171;166;92;9066;6155;15221;9882;7194;17076;10950;6985;17935;12721;7236;19957;13973;8089;22062;15423;9428;24851;17250;10452;27702;18871;11151;30022;24060;13446;37506;25790;15722;41512;28377;17950;46327;32457;21510;53967
Ukraine;Europe;1914;1714;1807;1676;1439;1844;1770;1313;1787;2040;463063;218004;681067;619584;271395;890979;638210;335822;974032;611373;316097;927470;723972;356119;1080091;761653;360433;1122086;852856;379450;1232306;865438;389691;1255129;887577;387181;1274758;890039;401960;1291999;970193;500057;1470250;953323;497164;1450487
United Arab Emirates;Asia;3;11;5;22;41;40;36;40;28;31;2308;1511;3819;2227;1347;3574;3143;2253;5396;4365;3603;7968;4487;4157;8644;5360;5316;10676;5947;6097;12044;6518;6839;13357;7649;8047;15696;9629;10300;19929;11018;12312;23330;13282;14949;28231
Uruguay;South America, Central America, and the Caribbean;12;7;8;4;3;1;9;5;8;8;1400;1523;2923;1292;1381;2673;1185;1355;2540;816;858;1674;1005;1101;2106;872;1005;1877;856;898;1754;966;965;1931;1011;972;1983;1524;1411;2935;1964;1699;3663;1557;1502;3059
Uzbekistan;Europe;2274;2388;3356;3596;3212;3385;3032;2524;2378;3199;49886;69825;119711;61938;91723;153661;69289;104507;173796;78512;115521;194033;124847;170981;295828;223129;284232;507361;293543;360784;654327;690503;503154;1193657;833998;553422;1387420;946212;542772;1488984;876875;699304;1576179;1232938;881508;2114446
Vanuatu;Oceania;0;0;0;0;0;0;0;0;1;0;19;16;35;30;29;59;39;35;74;231;33;264;58;53;111;55;69;124;69;64;133;86;86;172;34;45;79;57;70;127;70;61;131;90;111;201
Vatican City;Europe;0;0;0;0;0;0;0;0;0;0;9;2;11;14;5;19;16;8;24;123;0;123;17;17;34;30;21;51;19;18;37;25;21;46;26;28;54;24;20;44;28;26;54;46;38;84
Venezuela;South America, Central America, and the Caribbean;155;253;391;448;476;560;802;735;684;1274;16590;20121;36711;16508;20093;36601;20627;26372;46999;16347;21967;38314;30062;41603;71665;35377;50035;85412;39918;54917;94835;47539;68659;116198;51963;72570;124533;110579;148342;258921;137509;175619;313128;158450;202349;360799
Wallis and Futuna ;Europe;0;0;0;0;0;0;0;0;0;0;7;2;9;10;8;18;8;9;17;14;15;29;28;13;41;10;10;20;14;14;28;16;6;22;7;2;9;14;12;26;12;18;30;15;12;27
Western Sahara;Africa;0;0;0;0;0;0;0;0;0;0;26;1;27;25;8;33;22;16;38;21;7;28;23;12;35;23;10;33;0;0;0;39;17;56;32;10;42;45;22;67;68;14;82;70;15;85
Yemen;Asia;22;51;33;40;66;195;200;171;397;267;8628;4396;13024;9763;4568;14331;11213;5190;16403;10899;4580;15479;11970;5916;17886;14297;7309;21606;17670;10369;28039;27254;13708;40962;51748;24315;76063;92709;43689;136398;108549;64193;172742;171033;93486;264519
Zambia;Africa;65;38;41;48;18;39;18;33;20;17;2995;3497;6492;3322;3887;7209;3327;3636;6963;2305;2320;4625;2505;2572;5077;2648;2770;5418;2799;2874;5673;2561;2706;5267;2561;2510;5071;2541;2820;5361;2715;2750;5465;4067;3326;7393
Zimbabwe;Africa;47;96;65;89;42;68;32;47;85;44;3665;3927;7592;4153;4708;8861;4284;4948;9232;3392;3543;6935;4275;4681;8956;4165;4473;8638;4895;5205;10100;4802;5372;10174;4971;5456;10427;6235;6930;13165;7752;8254;16006;9260;10148;19408
